Keyword,Count
virus,27
influenza,21
disease,20
virus disease,17
avian,14
avian influenza,14
marburg virus,10
marburg,10
respiratory,8
syndrome,7
variant virus,6
influenza variant,6
variant,6
coronavirus,5
middle,5
infection,5
mpox,5
middle east,5
syndrome coronavirus,5
respiratory syndrome,5
