Country,Keyword,Score
Kingdom of Saudi Arabia,disease,0.4472135954999579
Kingdom of Saudi Arabia,invasive meningococcal,0.4472135954999579
Kingdom of Saudi Arabia,meningococcal disease,0.4472135954999579
Mexico,avian,1.7320508075688776
Mexico,influenza,1.7320508075688776
Mexico,avian influenza,1.7320508075688776
Nigeria,diphtheria,1.0
Peru,guillain,0.4472135954999579
Peru,barré,0.4472135954999579
Peru,syndrome,0.4472135954999579
Peru,guillain barré,0.4472135954999579
Peru,barré syndrome,0.4472135954999579
Poland,legionellosis,1.0
Region of the Americas,oropouche,0.8944271909999159
Region of the Americas,virus,0.8944271909999159
Region of the Americas,disease,0.8944271909999159
Region of the Americas,oropouche virus,0.8944271909999159
Region of the Americas,virus disease,0.8944271909999159
Rwanda,marburg,3.1304951684997055
Rwanda,virus,3.1304951684997055
Rwanda,disease,3.1304951684997055
Rwanda,marburg virus,3.1304951684997055
Rwanda,virus disease,3.1304951684997055
Saudi Arabia,middle,0.3333333333333333
Saudi Arabia,east,0.3333333333333333
Saudi Arabia,respiratory,0.3333333333333333
Saudi Arabia,syndrome,0.3333333333333333
Saudi Arabia,coronavirus,0.3333333333333333
Saudi Arabia,middle east,0.3333333333333333
Saudi Arabia,east respiratory,0.3333333333333333
Saudi Arabia,respiratory syndrome,0.3333333333333333
Saudi Arabia,syndrome coronavirus,0.3333333333333333
South Africa,mpox,1.0
Spain,influenza,0.4472135954999579
Spain,variant,0.4472135954999579
Spain,virus,0.4472135954999579
Spain,influenza variant,0.4472135954999579
Spain,variant virus,0.4472135954999579
Sweden,mpox,1.0
Timor-Leste,rabie,1.0
Uganda,sudan,1.3416407864998738
Uganda,virus,1.3416407864998738
Uganda,disease,1.3416407864998738
Uganda,sudan virus,1.3416407864998738
Uganda,virus disease,1.3416407864998738
United Kingdom of Great Britain and Northern Ireland,influenza,0.3779644730092272
United Kingdom of Great Britain and Northern Ireland,variant,0.3779644730092272
United Kingdom of Great Britain and Northern Ireland,virus,0.3779644730092272
United Kingdom of Great Britain and Northern Ireland,infection,0.3779644730092272
United Kingdom of Great Britain and Northern Ireland,influenza variant,0.3779644730092272
United Kingdom of Great Britain and Northern Ireland,variant virus,0.3779644730092272
United Kingdom of Great Britain and Northern Ireland,virus infection,0.3779644730092272
United Republic of Tanzania,outbreak,0.33333333333333337
United Republic of Tanzania,suspect,0.33333333333333337
United Republic of Tanzania,marburg,0.33333333333333337
United Republic of Tanzania,virus,0.33333333333333337
United Republic of Tanzania,disease,0.33333333333333337
United Republic of Tanzania,outbreak suspect,0.33333333333333337
United Republic of Tanzania,suspect marburg,0.33333333333333337
United Republic of Tanzania,marburg virus,0.33333333333333337
United Republic of Tanzania,virus disease,0.33333333333333337
United Republic of Tanzania,circulate,0.33333333333333337
United Republic of Tanzania,vaccine,0.33333333333333337
United Republic of Tanzania,derive,0.33333333333333337
United Republic of Tanzania,poliovirus,0.33333333333333337
United Republic of Tanzania,type,0.33333333333333337
United Republic of Tanzania,circulate vaccine,0.33333333333333337
United Republic of Tanzania,vaccine derive,0.33333333333333337
United Republic of Tanzania,derive poliovirus,0.33333333333333337
United Republic of Tanzania,poliovirus type,0.33333333333333337
United States of America,measle,1.0
United States of America,avian,0.5773502691896257
United States of America,influenza,0.5773502691896257
United States of America,avian influenza,0.5773502691896257
Uruguay,western,0.4472135954999579
Uruguay,equine,0.4472135954999579
Uruguay,encephalitis,0.4472135954999579
Uruguay,western equine,0.4472135954999579
Uruguay,equine encephalitis,0.4472135954999579
Viet Nam,avian,1.8365159277266978
Viet Nam,avian influenza,1.8365159277266978
Viet Nam,influenza,1.7539403698578075
Viet Nam,variant,0.4838025881780501
Viet Nam,virus,0.4838025881780501
Viet Nam,influenza variant,0.4838025881780501
Viet Nam,variant virus,0.4838025881780501
Zambia,anthrax,1.0
the Netherlands,influenza,0.4472135954999579
the Netherlands,variant,0.4472135954999579
the Netherlands,virus,0.4472135954999579
the Netherlands,influenza variant,0.4472135954999579
the Netherlands,variant virus,0.4472135954999579
unknown,respiratory,2.1565240184144265
unknown,region,2.0561612563537865
unknown,northern,1.3150627005017594
unknown,virus,1.254617670394362
unknown,united,1.254617670394362
unknown,african,1.200942005381024
unknown,african region,1.200942005381024
unknown,republic,0.945636112637865
unknown,china,0.6599978831063311
unknown,marburg,0.6225648037149029
unknown,disease,0.6225648037149029
unknown,tanzania,0.6225648037149029
unknown,marburg virus,0.6225648037149029
unknown,virus disease,0.6225648037149029
unknown,disease united,0.6225648037149029
unknown,united republic,0.6225648037149029
unknown,republic tanzania,0.6225648037149029
unknown,cluster,0.5296213447576713
unknown,community,0.5296213447576713
unknown,cluster community,0.5296213447576713
