Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Investors Name,InvestmentnType,Amount in USD
186,2018-08-26,Shubh Loans,Fin-Tech,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0
187,2018-08-27,MyUpchar,Healthcare,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,4200000.0
188,2018-08-28,Narvar,IT,Accel (formerly known as Accel Partners),Private Equity,4200000.0
189,2018-08-30,True North,Finance,Unknown,Private Equity,4200000.0
190,2018-07-01,Leena AI,Technology,Y Combinator,Seed/ Angel Funding,4200000.0
191,2018-07-02,Biryani By Kilo,Consumer Internet,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,4200000.0
192,2018-07-04,Anchanto,IT,MDI Ventures & Telkom Indonesia,Private Equity,4200000.0
193,,Loan Tap,Consumer Internet,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,4200000.0
194,2018-07-06,PolicyBazaar,Consumer Internet,Info Edge (India) Ltd and Temasek,Private Equity,4200000.0
195,2018-07-09,zippserv,Consumer Internet,Info Edge (India) Ltd,Seed/ Angel Funding,4200000.0
196,2018-07-09,Groww,Consumer Internet,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,4200000.0
197,2018-07-10,Avenue Growth,Consumer Internet,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,4200000.0
198,2018-07-10,iNICU,Healthcare,Venture Catalysts,Seed/ Angel Funding,4200000.0
199,2018-07-10,Kinara Capital,Finance,ResponsAbility,Private Equity,4200000.0
200,2018-07-10,Shop 101,Consumer Internet,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,4200000.0
201,2018-07-11,Sambandh,Consumer Internet,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,4200000.0
202,2018-07-12,19th mile,IT,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,4200000.0
203,2018-07-12,5th Vital,Healthcare,Brand Capital and Others,Seed/ Angel Funding,4200000.0
204,2018-07-13,MEngage,Healthcare,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,4200000.0
205,2018-07-17,Ofbusiness,Finance,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,4200000.0
206,2018-07-17,Cars24,Consumer Internet,"Kingsway FCI Fund, KCK Global & Others",Private Equity,4200000.0
207,2018-07-18,The Ken,Consumer Internet,Omidyar Network & Others,Seed/ Angel Funding,4200000.0
208,2018-07-19,Book My Show,Consumer Internet,"TPG Growth, The Rise Fund & Others",Private Equity,4200000.0
209,2018-07-20,HousingMan,Consumer Internet,Unknown,Seed/ Angel Funding,4200000.0
210,2018-07-21,PaySense,Consumer Internet,PayU & Others,Private Equity,4200000.0
211,2018-07-23,Yulu Bikes,Technology,Unknown,Seed/ Angel Funding,4200000.0
212,2018-07-23,VTION,Technology,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,4200000.0
213,2018-07-23,Log9 Materials,Technology,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,4200000.0
214,2018-07-24,kidovators,Ed-Tech,Gray Matters,Seed/ Angel Funding,4200000.0
215,2018-07-24,Digit,Consumer Internet,Fairfax,Private Equity,4200000.0
