Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Investors Name,InvestmentnType,Amount in USD
619,2017-09-25,Synup,Technology,"Vertex Ventures, Prime Venture Partners.",Private Equity,4200000.0
620,2017-09-25,Tinmen,Consumer Internet,Zomato Media Pvt. Ltd,Private Equity,4200000.0
621,2017-09-25,Cropin,Technology,Beenext,Private Equity,4200000.0
622,2017-09-25,Rapido,Consumer Internet,Battery Road Digital Holdings LLC,Seed Funding,4200000.0
623,2017-09-25,Sportobuddy,Consumer Internet,Mehul Shah,Seed Funding,4200000.0
624,2017-09-26,Credifiable,Consumer Internet,Kae Capital,Private Equity,4200000.0
625,2017-09-26,Inclov,Consumer Internet,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,4200000.0
626,2017-09-26,Multibhashi,Consumer Internet,"Aniruddha Malpani, Startup Oasis",Seed Funding,4200000.0
627,2017-09-27,Transerve,Technology,"IL&FS Investment Managers, Omidyar Network.",Private Equity,4200000.0
628,2017-09-27,Fashalot,Consumer Internet,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,4200000.0
629,2017-09-27,Pitstop,Consumer Internet,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,4200000.0
630,2017-09-27,GoChoppers,Consumer Internet,"Rivergate Capital,",Seed Funding,4200000.0
631,2017-09-27,MyUpchar,Consumer Internet,LetsVenture,Seed Funding,4200000.0
632,2017-09-28,Aadyah,Technology,Keiretsu Forum,Private Equity,4200000.0
633,2017-08-01,TouchKin,Technology,Kae Capital,Private Equity,4200000.0
634,2017-08-02,Ethinos,Technology,Triton Investment Advisors,Private Equity,4200000.0
635,2017-08-02,Leverage Edu,Consumer Internet,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,4200000.0
636,2017-08-02,Zepo,Consumer Internet,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,4200000.0
637,2017-08-02,Click2Clinic,Consumer Internet,"Narottam Thudi, Shireesh Palle",Seed Funding,4200000.0
638,2017-08-03,SpeedBox,Logistics,Cismat Cargo Services Pvt. Ltd.,Seed Funding,4200000.0
639,2017-08-03,Skill Connect,Consumer Internet,Rajasthan Angel Investor Network,Seed Funding,4200000.0
640,2017-08-03,Chai Point,Consumer Internet,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,4200000.0
641,2017-08-03,Zoctr,Consumer Internet,SIDBI,Private Equity,4200000.0
642,2017-08-04,Lime Tray,Technology,JSW Ventures,Private Equity,4200000.0
643,2017-08-04,CoutLoot,eCommerce,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,4200000.0
644,2017-08-04,Box My Space,Logistics,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,4200000.0
645,2017-08-05,Curatio,Healthcare,Anicut Capital,Private Equity,4200000.0
646,2017-08-08,New Castle Technologies,Technology,Undisclosed investors,Seed Funding,4200000.0
647,2017-08-08,My Forex Eye,Consumer Internet,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,4200000.0
648,2017-08-09,TruxApp,Logistics,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,4200000.0
649,2017-08-09,CroFarm,Technology,Factor[e] Ventures,Seed Funding,4200000.0
650,2017-08-09,DoodhWala,Consumer Internet,Tom Varkey,Seed Funding,4200000.0
651,2017-08-10,Stayabode,Consumer Internet,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,4200000.0
652,2017-08-11,Flipkart,eCommerce,Softbank,Private Equity,4200000.0
653,2017-08-11,Moong Labs,Technology,Nazara Games,Private Equity,4200000.0
654,2017-08-11,Ola Cabs,Consumer Internet,Tekne Capital Management,Private Equity,4200000.0
655,2017-08-14,Sports Flashes,Consumer Internet,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,4200000.0
656,2017-08-14,Digilend,Technology,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,4200000.0
657,2017-08-15,KNAB Finance,Consumer Internet,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,4200000.0
658,2017-08-17,Get Simpl,Consumer Internet,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,4200000.0
659,2017-08-20,Rootefy,eCommerce,"Abhinav Gupta,",Seed Funding,4200000.0
660,2017-08-21,Uniphore,Technology,IDG Ventures,Private Equity,4200000.0
661,2017-08-21,Cerebroz,Consumer Internet,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,4200000.0
662,2017-08-22,Flochat,Consumer Internet,"iSquare Global,",Seed Funding,4200000.0
663,2017-08-22,EasyGov,Consumer Internet,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,4200000.0
664,2017-08-23,Milk Basket,Consumer Internet,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,4200000.0
665,2017-08-23,Dhruva,Technology,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,4200000.0
666,2017-08-23,Bombay Shaving Company,eCommerce,Fireside Ventures,Private Equity,4200000.0
667,2017-08-23,Awign,Technology,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,4200000.0
668,2017-08-23,Indiez,Technology,Haresh Chawla,Seed Funding,4200000.0
669,2017-08-24,Ezetap,Technology,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,4200000.0
670,2017-08-25,Ink Monk,Consumer Internet,"VAMM Ventures, Raksul, Dena",Seed Funding,4200000.0
671,2017-08-25,Medinfi,Consumer Internet,"PBS Srinivas, Vinod Martin,",Seed Funding,4200000.0
672,2017-08-28,Mobikon,Technology,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,4200000.0
673,2017-08-29,CureFit,Consumer Internet,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,4200000.0
674,2017-08-29,Doxper,Technology,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,4200000.0
675,2017-08-29,Fieldassist,Technology,Small Industries Development Bank of India (SIDBI),Debt Funding,4200000.0
676,2017-08-30,Treebo,Consumer Internet,"Ward Ferry Management and Karst Peak Capital,",Private Equity,4200000.0
677,2017-08-30,MedGenome,Technology,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,4200000.0
678,2017-07-01,Billion Loans,Consumer Internet,Reliance Corporate Advisory Services Ltd,Seed Funding,4200000.0
679,2017-07-03,Ecolibriumenergy,Technology,"Infuse Ventures, JLL",Private Equity,4200000.0
680,2017-07-04,Droom,eCommerce,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,4200000.0
681,2017-07-05,Jumbotail,eCommerce,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,4200000.0
682,2017-07-05,Moglix,eCommerce,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,4200000.0
683,2017-07-05,Timesaverz,Consumer Internet,BCCL,Private Equity,4200000.0
684,2017-07-06,Minjar,Technology,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,4200000.0
685,2017-07-06,MyCity4kids,Consumer Internet,Unknown,Seed Funding,4200000.0
686,2017-07-07,Clip App,Consumer Internet,"India Quotient, Shunwei Capital",Seed Funding,4200000.0
687,2017-07-07,Upwardly.in,Consumer Internet,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,4200000.0
688,2017-07-10,Autorox.co,Technology,Mitsui & Co.,Private Equity,4200000.0
689,2017-07-11,Fabogo,Consumer Internet,Dunamis Ventures Pte Ltd,Private Equity,4200000.0
690,2017-07-11,Flickstree,Consumer Internet,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,4200000.0
691,2017-07-11,Design Cafe,Consumer Internet,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,4200000.0
692,2017-07-12,Innoviti,Technology,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,4200000.0
693,2017-07-12,VDeliver,Logistics,"Corvus Ventures, MAPE Advisory Group",Private Equity,4200000.0
694,2017-07-12,Bottr.me,Technology,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,4200000.0
695,2017-07-12,Arcatron,Technology,Indian Angel Network,Seed Funding,4200000.0
696,2017-07-14,QwikSpec,Technology,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,4200000.0
697,2017-07-14,Chumbak,eCommerce,Blacksoil Capital Pvt. Ltd,Private Equity,4200000.0
698,2017-07-17,Increff,Technology,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,4200000.0
699,2017-07-17,Vayana,Technology,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4200000.0
700,2017-07-18,MObiquest,Technology,One97 Communication Ltd,Private Equity,4200000.0
701,2017-07-18,Ambee,Consumer Internet,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,4200000.0
702,2017-07-18,Ideal Insurance,Consumer Internet,Xelpmoc,Seed Funding,4200000.0
703,2017-07-18,Hypernova Interactive,Technology,Kae Capital,Seed Funding,4200000.0
704,2017-07-19,Rentomojo,Consumer Internet,"ain Capital Ventures, Renaud Laplanche",Private Equity,4200000.0
705,2017-07-19,AirCTO,Consumer Internet,Francesco Cara,Seed Funding,4200000.0
706,2017-07-19,Playablo,Technology,ABI-Showatech (India) Ltd,Seed Funding,4200000.0
707,2017-07-20,Trupay,Technology,"Kae Capital, M&S Partners,",Seed Funding,4200000.0
708,2017-07-21,Brick2Wall,eCommerce,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,4200000.0
709,2017-07-21,FableStreet,eCommerce,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,4200000.0
710,2017-07-21,Monsoon Fintech,Technology,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,4200000.0
711,2017-07-21,MonkeyBox,Consumer Internet,"Blume Ventures, NB Ventures, Nspira",Seed Funding,4200000.0
712,2017-07-25,Noticeboard,Consumer Internet,"Stellaris Venture Partners,",Private Equity,4200000.0
713,2017-07-25,Byju\\xe2\\x80\\x99s,Consumer Internet,Tencent Holdings,Private Equity,4200000.0
714,2017-07-26,Creator\\xe2\\x80\\x99s Gurukul,Others,Yuvraj Singh,Seed Funding,4200000.0
715,2017-07-26,Fab Hotels,Consumer Internet,Goldman Sachs,Private Equity,4200000.0
716,2017-07-26,ThinkerBell,Consumer Internet,"Indian Angel Network, Anand Mahindra",Seed Funding,4200000.0
717,2017-07-27,1mg,eCommerce,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,4200000.0
718,2017-07-28,Jhakaas,Consumer Internet,Amen Dhyllon,Seed Funding,4200000.0
719,2017-07-28,BigStylist,Consumer Internet,Info Edge (India) Ltd,Private Equity,4200000.0
720,2017-07-28,Gympik.com,Consumer Internet,RoundGlass Partners,Seed Funding,4200000.0
721,2017-06-01,Tripeur,Technology,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,4200000.0
722,2017-06-02,RentOnGo,eCommerce,TVS Motor Company,Seed Funding,4200000.0
723,2017-06-05,Goomo,Consumer Internet,Emerging India,Private Equity,4200000.0
724,2017-06-05,MaxMyWealth,Consumer Internet,"lockchain ecosystem Global Advisors, Horseferry",Private Equity,4200000.0
725,2017-06-06,Spinny,eCommerce,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,4200000.0
726,2017-06-06,Healthbuds,Consumer Internet,"Arun Patodia, Bharat Kedia",Seed Funding,4200000.0
727,2017-06-06,Ftcash,Consumer Internet,"500 Startups, IvyCap Ventures",Private Equity,4200000.0
728,2017-06-06,BHIVE Workspace,Consumer Internet,Blume Ventures,Private Equity,4200000.0
729,2017-06-06,wayForward,Consumer Internet,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,4200000.0
730,2017-06-06,GyanDhan,Consumer Internet,Sundaram Finance Holdings,Private Equity,4200000.0
731,2017-06-06,Hungry Foal,Consumer Internet,SBI (Stand Up India Scheme),Private Equity,4200000.0
732,2017-06-07,ZipLoan,Consumer Internet,WaterBridge Ventures,Seed Funding,4200000.0
733,2017-06-07,GrowFitter,Consumer Internet,SQue Capital,Seed Funding,4200000.0
734,2017-06-08,Stratfit,Consumer Internet,Bodhtree Consulting Limited,Seed Funding,4200000.0
735,2017-06-08,Multiplier Solutions,Technology,Norwest Venture Partners,Private Equity,4200000.0
736,2017-06-08,ABI Health,Technology,Norwest Venture Partners,Private Equity,4200000.0
737,2017-06-08,Stockal,Consumer Internet,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,4200000.0
738,2017-06-09,Guidoo,Consumer Internet,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,4200000.0
739,2017-06-09,eSahai.in,Consumer Internet,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,4200000.0
740,2017-06-12,Loanmeet,Consumer Internet,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,4200000.0
741,2017-06-12,LendingKart,Consumer Internet,Yes Bank,Debt Funding,4200000.0
742,2017-06-12,Boxx.ai,Technology,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,4200000.0
743,2017-06-12,PeeSafe.in,Healthcare,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,4200000.0
744,2017-06-12,Vista Rooms,Consumer Internet,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,4200000.0
745,2017-06-12,CoverFox,Consumer Internet,Transamerica,Private Equity,4200000.0
746,2017-06-13,HyperTrack,Technology,"Nexus Venture Partners, Founders Fund",Private Equity,4200000.0
747,2017-06-13,Goodera,Technology,"Nexus Venture Partners, Omidyar Network",Private Equity,4200000.0
748,2017-06-13,Digit,Technology,Fairfax Holdings,Private Equity,4200000.0
749,2017-06-14,Ola,Consumer Internet,Tekne Capital Management LLC,Private Equity,4200000.0
750,2017-06-14,Vanitycask,Consumer Internet,RB Investments,Seed Funding,4200000.0
751,2017-06-14,MrNeeds,Consumer Internet,undisclosed investors,Seed Funding,4200000.0
752,2017-06-15,MoneyTap,Consumer Internet,"Sequoia India, NEA, Prime Venture Partners",Private Equity,4200000.0
753,2017-06-16,Goodbox,eCommerce,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,4200000.0
754,2017-06-16,Fincash,Consumer Internet,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,4200000.0
755,2017-06-16,PortDesk,Technology,Alphard Maritime Group,Seed Funding,4200000.0
756,2017-06-16,EdgeFx,eCommerce,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,4200000.0
757,2017-06-16,EazyDiner,Consumer Internet,YouWeCan Ventures,Seed Funding,4200000.0
758,2017-06-16,HealthIntel,Healthcare,BLIP Initiatives,Seed Funding,4200000.0
759,2017-06-19,Unbxd,Technology,Eight Roads Ventures,Private Equity,4200000.0
760,2017-06-19,DarwinBox,Technology,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,4200000.0
761,2017-06-20,ForeverShop,Consumer Internet,91maker.com,Seed Funding,4200000.0
762,2017-06-20,Insider.in,Consumer Internet,Paytm,Private Equity,4200000.0
763,2017-06-21,Fynd,eCommerce,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,4200000.0
764,2017-06-21,Grow Fit,Consumer Internet,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4200000.0
765,2017-06-21,Fabulyst,Technology,iBhubs,Seed Funding,4200000.0
766,2017-06-21,mSwipe,Technology,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,4200000.0
767,2017-06-21,OneAssist,Consumer Internet,Sequoia Capital,Private Equity,4200000.0
768,2017-06-22,Julia Computing,Technology,"General Catalyst, Founder Collective",Private Equity,4200000.0
769,2017-06-22,Kissht,Consumer Internet,"Endiya Partners, Ventureast",Private Equity,4200000.0
770,2017-06-22,Explore Life traveling,Consumer Internet,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,4200000.0
771,2017-06-23,Loantap,Consumer Internet,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4200000.0
772,2017-06-23,Voxweb,Consumer Internet,Undisclosed investors,Seed Funding,4200000.0
773,2017-06-26,HUG Innovations,Technology,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,4200000.0
774,2017-06-26,Flipkart,eCommerce,Naspers,Private Equity,4200000.0
775,2017-06-26,V Resorts,Consumer Internet,"Seedfund, RB International",Private Equity,4200000.0
776,2017-06-27,Stashfin,Consumer Internet,"Snow Leopard Ventures, Alto Partners",Private Equity,4200000.0
777,2017-06-27,Formcept,Consumer Internet,Gujarat Venture Finance Ltd,Private Equity,4200000.0
778,2017-06-27,Spares Hub,eCommerce,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,4200000.0
779,2017-06-28,FiTraQ,Consumer Internet,"Aparup Sengupta, Devendra Reddy,",Seed Funding,4200000.0
780,2017-06-28,Rubique,Consumer Internet,"Kalaari Capital, Udayan Goyal",Private Equity,4200000.0
781,2017-06-28,Niki.ai,Consumer Internet,"SAP.iO, Unilazer Ventures",Private Equity,4200000.0
782,2017-06-29,Fitpass,Consumer Internet,"Abhinav Bindra, Gaurav Marya",Private Equity,4200000.0
783,2017-06-29,ZingHR,Technology,Zeta,Private Equity,4200000.0
784,2017-06-30,Tagos Design,Technology,Undisclosed Investors,Private Equity,4200000.0
785,2017-06-30,UrbanClap,Consumer Internet,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,4200000.0
786,2017-05-01,Ace2three,Consumer Internet,Clairvest Group,Private Equity,4200000.0
787,2017-05-01,Power2SME,eCommerce,International Finance Corporation,Private Equity,4200000.0
788,2017-05-02,Innovapptive,Technology,Hyderabad Angels,Seed Funding,4200000.0
789,2017-05-02,4tigo,Logistics,"Accel Partners, Nandan Nilekani,",Private Equity,4200000.0
790,2017-05-02,SMECorner,Consumer Internet,Dutch government fund,Private Equity,4200000.0
791,2017-05-02,ZippServe,Consumer Internet,undisclosed investors,Seed Funding,4200000.0
792,2017-05-03,Ola,Consumer Internet,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,4200000.0
793,2017-05-03,Sumeru,Technology,undisclosed investors,Seed Funding,4200000.0
794,2017-05-04,Healthians,Consumer Internet,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,4200000.0
795,2017-05-05,HealthMir,Consumer Internet,Nimit Panigrahi,Seed Funding,4200000.0
796,2017-05-05,Uactive,Consumer Internet,Hinduja family,Seed Funding,4200000.0
797,2017-05-05,i-lend,Consumer Internet,50K Ventures,Seed Funding,4200000.0
798,2017-05-05,Good Methods Global,Technology,Accel Partners,Private Equity,4200000.0
799,2017-05-05,Balance App,Consumer Internet,Rainmatter,Seed Funding,4200000.0
800,2017-05-08,YepMe,eCommerce,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,4200000.0
801,2017-05-08,Nightstay,Consumer Internet,"Indian Angels Network, LetsVenture",Seed Funding,4200000.0
802,2017-05-08,Devourin,Technology,Deepak Nathani,Seed Funding,4200000.0
803,2017-05-08,MyGreens,Food & Beverage,"Ajay Relan, LetsVenture",Seed Funding,4200000.0
804,2017-05-08,Ace Turtle,Technology,"Vertex Ventures, C31 Ventures",Private Equity,4200000.0
805,2017-05-08,CureFit,Technology,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,4200000.0
806,2017-05-09,Curie Labs,Technology,Satoshi Studios,Seed Funding,4200000.0
807,2017-05-09,Uncanny Vision,Technology,Anand Chandrasekaran,Seed Funding,4200000.0
808,2017-05-09,Anchanto,Technology,Luxasia Group,Private Equity,4200000.0
809,2017-05-09,Sequretek,Technology,"GVFL, Unicorn India Ventures",Private Equity,4200000.0
810,2017-05-10,Lucideus,Technology,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,4200000.0
811,2017-05-10,Vidooly,Consumer Internet,"Times Internet, GVFL",Private Equity,4200000.0
812,2017-05-10,Shopclues,eCommerce,InnoVen Capital,Private Equity,4200000.0
813,2017-05-10,Fourth Ambit,Consumer Internet,1Crowd,Seed Funding,4200000.0
814,2017-05-10,Chymera VR,Technology,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,4200000.0
815,2017-05-11,Early Salary,Consumer Internet,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4200000.0
816,2017-05-11,Book My Diamond,eCommerce,Chirag Nikunj Sheth & Others,Seed Funding,4200000.0
817,2017-05-11,ION Energy,Technology,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,4200000.0
818,2017-05-12,Legal Raasta,Consumer Internet,Impanix Capital,Private Equity,4200000.0
819,2017-05-12,Log 9 Materials,Technology,GEMs,Seed Funding,4200000.0
820,2017-05-12,Remit Guru,Consumer Internet,"Infibeam, CCavenue",Private Equity,4200000.0
821,2017-05-12,Aequm,eCommerce,undisclosed investors,Seed Funding,4200000.0
822,2017-05-15,Zapty,Technology,IdeaSpring Capital,Seed Funding,4200000.0
823,2017-05-15,Vernacular.ai,Technology,Kstart Capital,Seed Funding,4200000.0
824,2017-05-16,Niki.ai,Technology,SAP,Private Equity,4200000.0
825,2017-05-16,Telr,Technology,Innovations East,Private Equity,4200000.0
826,2017-05-16,Fynd,eCommerce,Rocketship,Private Equity,4200000.0
827,2017-05-17,Genie,Consumer Internet,undisclosed investors,Seed Funding,4200000.0
828,2017-05-17,Paysense,Consumer Internet,Jungle Ventures,Private Equity,4200000.0
829,2017-05-18,The Good Life,ECommerce,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,4200000.0
830,2017-05-18,PumpKart,eCommerce,Dr. Ritesh Malik,Seed Funding,4200000.0
831,2017-05-18,Paytm,ECommerce,SoftBank Group,Private Equity,4200000.0
832,2017-05-19,EzCred,Consumer Internet,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,4200000.0
833,2017-05-19,HealthSutra,Food & Beverage,"Ankur Capital, Hyderabad Angels",Seed Funding,4200000.0
834,2017-05-20,YepMe,eCommerce,Gokaldas Exports Ltd,Private Equity,4200000.0
835,2017-05-22,Delhivery,Logistics,Fosun International,Private Equity,4200000.0
836,2017-05-22,ZipGrid,Consumer Internet,"JLL, 1Crowd",Seed Funding,4200000.0
837,2017-05-23,TravelSpice,ECommerce,Eagle10 Ventures,Seed Funding,4200000.0
838,2017-05-23,Magicpin,Consumer Internet,"Lightspeed Venture Partners, Vy Capital,",Private Equity,4200000.0
839,2017-05-23,The Print,Consumer Internet,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,4200000.0
840,2017-05-23,Box8,Consumer Internet,Trifecta Capital,Private Equity,4200000.0
841,2017-05-24,GenNext Students,Consumer Internet,Undisclosed Investors,Seed Funding,4200000.0
842,2017-05-25,Aye Finance,Finance,Blue Orchard,Private Equity,4200000.0
843,2017-05-26,WhatsLoan,Consumer Internet,Lahiri Music\\xe2\\x80\\x99s family office,Seed Funding,4200000.0
844,2017-05-29,Cube Consumer Services,Consumer Internet,Unknown,Seed Funding,4200000.0
845,2017-05-29,Nivesh,Consumer Internet,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,4200000.0
846,2017-05-29,Wowflux,Technology,Undisclosed Investors,Seed Funding,4200000.0
847,2017-05-29,Collateral Medical,eCommerce,Carpediem Capital,Private Equity,4200000.0
848,2017-05-30,Loadshare,Logistics,Matrix Partners,Seed Funding,4200000.0
849,2017-05-30,SimpliLend,Consumer Internet,Undisclosed Investors,Seed Funding,4200000.0
850,2017-05-30,Supr Daily,Consumer Internet,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,4200000.0
851,2017-05-30,Swiggy,Consumer Internet,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,4200000.0
852,2017-05-31,SastaSundar,eCommerce,Rohto Pharmaceutical,Private Equity,4200000.0
853,2017-05-31,Magicpin,Consumer Internet,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,4200000.0
854,2017-04-01,Cashe,Consumer Internet,"Mathew Cyriac, Florintree Advisors,",Private Equity,4200000.0
855,2017-04-03,Eruditus,Education,Bertelsmann India,Private Equity,4200000.0
856,2017-04-03,TestBook,Consumer Internet,Matrix Partners India,Private Equity,4200000.0
857,2017-04-03,Healthcare at Home,Healthcare,Quadria Capital Advisors,Private Equity,4200000.0
858,2017-04-03,Tyre Express,Technology,Rohitash Gupta,Seed Funding,4200000.0
859,2017-04-03,SmartCoin,Consumer Internet,Unicorn India Ventures & Others,Private Equity,4200000.0
860,2017-04-04,WayCool,Food & Beverage,Aspada Investments,Private Equity,4200000.0
861,2017-04-04,Perfios,Technology,Bessemer Venture Partners,Private Equity,4200000.0
862,2017-04-04,Whatfix,Technology,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,4200000.0
863,2017-04-04,ElastiRun,Technology,"Kalaari Capital, Norwest Venture Partners",Private Equity,4200000.0
864,2017-04-04,Trukky,Consumer Internet,"Keyur Joshi, Pavan Bakeri",Seed Funding,4200000.0
865,2017-04-04,Konsult App,Consumer Internet,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,4200000.0
866,2017-04-05,Credit Sudhaar,Consumer Internet,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,4200000.0
867,2017-04-05,Fingerlix,Consumer Internet,Zephyr Peacock India,Private Equity,4200000.0
868,2017-04-05,DataWeave,Technology,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,4200000.0
869,2017-04-06,Medwell Ventures,Healthcare,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,4200000.0
